,Nombre,Precio,Imagen
0,MARIO VS DONKEY KONG,$999.99,Imagen 1.jpg
1,SUPER MARIO BROS WONDER,"$1,199.99",Imagen 2.jpg
2,MARIO KART 8 DELUXE,"$1,199.99",Imagen 3.jpg
3,FINAL FANTASY VII REBIRTH,"$1,379.99",Imagen 4.jpg
4,SUPER SMASH BROS. ULTIMATE,"$1,199.99",Imagen 5.jpg
5,THE LEGEND OF ZELDA TEARS OF THE KINGDOM,"$1,099.99",Imagen 6.jpg
6,WWE 2K24,"$1,195.99",Imagen 7.jpg
7,AMIIBO SUPER SMASH BROS ULTIMATE YOUNG LINK,$499.99,Imagen 8.jpg
8,AMIIBO SUPER SMASH BROS SEPHIROTH,$699.99,Imagen 9.jpg
9,AMIIBO SUPER SMASH BROS ULTIMATE SNAKE,$599.99,Imagen 10.jpg
10,MEMORIA MICRO SD SANDISK 128GB,$735.99,Imagen 11.jpg
11,EA SPORTS FC 24,$649.99,Imagen 12.jpg
12,PROTECTOR DE PANTALLA NINTENDO OLED VOLTEDGE AX240,$299.99,Imagen 13.jpg
13,MINECRAFT,"$1,099.99",Imagen 14.jpg
14,SUPER MARIO ODYSSEY,"$1,099.99",Imagen 15.jpg
15,AMIIBO SUPER SMASH BROS ROSALINA,$599.99,Imagen 16.jpg
16,LUIGIs MANSION 3,"$1,099.99",Imagen 17.jpg
17,AMIIBO SUPER MARIO ODYSSEY PEACH WEDDING OUTFIT,$499.99,Imagen 18.jpg
18,CONSOLA NINTENDO SWITCH MODELO OLED JOY-CON BLANCA,"$7,399.99",Imagen 19.jpg
19,AMIIBO THE LEGEND OF ZELDA MAJORAS MASK LINK,$599.99,Imagen 20.jpg
20,MARIO PARTY SUPERSTARS,"$1,099.99",Imagen 21.jpg
21,KIRBY AND THE FORGOTTEN LAND,"$1,099.99",Imagen 22.jpg
22,KIT DE CARGA DOBLE XBOX ONE VOLTEDGE BX25,$499.99,Imagen 23.jpg
23,AMIIBO SUPER MARIO BOO,$599.99,Imagen 24.jpg
24,SUPER MARIO 3D WORLD PLUS BOWSERS FURY,"$1,099.99",Imagen 25.jpg
25,WWE 2K24,"$1,199.00",Imagen 26.jpg
26,AMIIBO SUPER SMASH BROS MEGA MAN,$599.99,Imagen 27.jpg
27,MARVELS SPIDER MAN 2 DAY ONE EDITION,"$1,449.99",Imagen 28.jpg
28,EA SPORTS FC 24,$899.99,Imagen 29.jpg
29,AMIIBO SUPER SMASH BROS ULTIMATE IVYSAUR,$499.00,Imagen 30.jpg
30,THE LEGEND OF ZELDA BREATH OF THE WILD,"$1,099.99",Imagen 31.jpg
31,AMIIBO SUPER SMASH BROS RYU,$499.99,Imagen 32.jpg
32,AMIIBO SUPER SMASH BROS MEWTWO,$599.99,Imagen 33.jpg
33,FINAL FANTASY VII REBIRTH DELUXE EDITION,"$2,149.99",Imagen 34.jpg
34,SILENT HILL 2 PS5,"$1,399.99",Imagen 35.jpg
35,CONTROL XBOX INALAMBRICO DREAM VAPOR,"$1,563.99",Imagen 36.jpg
36,PROTECTOR DE PANTALLA NINTENDO SWITCH VIDRIO TEMPLADO VOLTEDGE AX24,$183.99,Imagen 37.jpg
37,KIT DE CARGA PARA CONTROLES XBOX SERIE X VOLTEDGE BX15,$349.99,Imagen 38.jpg
38,CALL OF DUTY MODERN WARFARE III,"$1,599.99",Imagen 39.jpg
39,RED DEAD REDEMPTION II,$551.99,Imagen 40.jpg
40,AMIIBO SUPER MARIO ODYSSEY MARIO WEDDING OUTFIT,$499.99,Imagen 41.jpg
41,CONTROL XBOX INALAMBRICO ROBOT WHITE PARA XBOX ONE SERIES X Y S,"$1,449.99",Imagen 42.jpg
42,THE LAST OF US PART II REMASTERED,"$1,011.99",Imagen 43.jpg
43,HEADSET ALAMBRICO POWER A FUSION EMERALD,$349.99,Imagen 44.jpg
44,CONTROL INALAMBRICO XBOX SERIE X SHADOW,"$1,699.99",Imagen 45.jpg
45,AMIIBO SUPER SMASH BROS ULTIMATE SQUIRTLE,$499.00,Imagen 46.jpg
46,AMIIBO PIKMIN,$599.99,Imagen 47.jpg
47,CONSOLA PLAYSTATION 5 SLIM MEGAPACK BUNDLE,"$11,999.99",Imagen 48.jpg
48,WWE 2K24,"$1,103.99",Imagen 49.jpg
49,CONTROL PLAYSTATION 5 DUALSENSE GRAY CAMO,"$1,517.99",Imagen 50.jpg
50,AMIIBO SUPER SMASH BROS ULTIMATE BOWSER JR,$499.99,Imagen 51.jpg
51,BLUEY,$919.99,Imagen 52.jpg
52,AMIIBO SUPER MARIO ROSALINA,$499.99,Imagen 53.jpg
53,AMIIBO THE LEGEND OF ZELDA TEARS OF THE KINGDOM LINK,$599.99,Imagen 54.jpg
54,AMIIBO THE LEGEND OF ZELDA BREATH OF THE WILD LINK ARQUERO,$599.99,Imagen 55.jpg
55,AMIIBO SUPER SMASH BROS ULTIMATE WARIO,$599.99,Imagen 56.jpg
56,HELLDIVERS 2,$899.99,Imagen 57.jpg
57,AMIIBO THE LEGEND OF ZELDA TWILIGHT PRINCESS LINK,$599.99,Imagen 58.jpg
58,ANIMAL CROSSING NEW HORIZONS,"$1,099.99",Imagen 59.jpg
59,SUPER MARIO PARTY,"$1,099.99",Imagen 60.jpg
60,HOGWARTS LEGACY,"$1,471.99",Imagen 61.jpg
61,EA SPORTS FC 24,$899.99,Imagen 62.jpg
62,AMIIBO SUPER SMASH BROS ZERO SUIT SAMUS,$599.99,Imagen 63.jpg
63,GRAND THEFT AUTO V PREMIUM EDITION,$599.99,Imagen 64.jpg
64,AMIIBO THE LEGEND OF ZELDA BREATH OF THE WILD LINK JINETE,$551.99,Imagen 65.jpg
65,CONTROL PLAYSTATION 5 DUALSENSE STERLING SILVER,"$1,563.99",Imagen 66.jpg
66,POKEMON SCARLET,"$1,399.99",Imagen 67.jpg
67,NEW SUPER MARIO BROS. U DELUXE,"$1,099.99",Imagen 68.jpg
68,AMIIBO SUPER SMASH BROS NESS,$551.99,Imagen 69.jpg
69,STELLAR BLADE PS5,"$1,499.99",Imagen 70.jpg
70,GOD OF WAR III REMASTERED PLAYSTATION HITS,$399.99,Imagen 71.jpg
71,BASE DE CARGA CONTROL XBOX VOLTEDGE BX40,$649.99,Imagen 72.jpg
